================ Training Loss (Mon Apr 25 21:57:22 2022) ================
(epoch: 94, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.399 D_real: 0.366 D_fake: 0.151 G: 1.670 NCE: 1.274 NCE_Y: 1.269 
(epoch: 95, iters: 120, time: 0.100, data: 0.002) G_GAN: 0.490 D_real: 0.109 D_fake: 0.266 G: 1.884 NCE: 1.417 NCE_Y: 1.371 
(epoch: 97, iters: 80, time: 0.100, data: 0.454) G_GAN: 0.313 D_real: 0.239 D_fake: 0.235 G: 1.713 NCE: 1.564 NCE_Y: 1.237 
(epoch: 99, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.306 D_real: 0.302 D_fake: 0.206 G: 1.462 NCE: 1.166 NCE_Y: 1.147 
(epoch: 100, iters: 120, time: 0.100, data: 0.001) G_GAN: 0.350 D_real: 0.259 D_fake: 0.256 G: 1.483 NCE: 1.140 NCE_Y: 1.125 
(epoch: 102, iters: 80, time: 0.099, data: 0.453) G_GAN: 0.294 D_real: 0.191 D_fake: 0.168 G: 1.504 NCE: 1.169 NCE_Y: 1.251 
(epoch: 104, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.349 D_real: 0.213 D_fake: 0.245 G: 1.517 NCE: 1.162 NCE_Y: 1.174 
(epoch: 105, iters: 120, time: 0.100, data: 0.003) G_GAN: 0.522 D_real: 0.097 D_fake: 0.374 G: 1.722 NCE: 1.216 NCE_Y: 1.186 
(epoch: 107, iters: 80, time: 0.100, data: 0.451) G_GAN: 0.402 D_real: 0.175 D_fake: 0.213 G: 1.538 NCE: 1.117 NCE_Y: 1.154 
(epoch: 109, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.306 D_real: 0.250 D_fake: 0.188 G: 1.444 NCE: 1.115 NCE_Y: 1.162 
(epoch: 110, iters: 120, time: 0.100, data: 0.002) G_GAN: 0.520 D_real: 0.157 D_fake: 0.335 G: 1.723 NCE: 1.260 NCE_Y: 1.146 
(epoch: 112, iters: 80, time: 0.100, data: 0.461) G_GAN: 0.468 D_real: 0.166 D_fake: 0.345 G: 1.715 NCE: 1.263 NCE_Y: 1.231 
(epoch: 114, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.488 D_real: 0.144 D_fake: 0.347 G: 1.624 NCE: 1.163 NCE_Y: 1.109 
(epoch: 115, iters: 120, time: 0.100, data: 0.001) G_GAN: 0.286 D_real: 0.342 D_fake: 0.120 G: 1.459 NCE: 1.191 NCE_Y: 1.156 
(epoch: 117, iters: 80, time: 0.100, data: 0.461) G_GAN: 0.537 D_real: 0.095 D_fake: 0.449 G: 1.708 NCE: 1.164 NCE_Y: 1.180 
(epoch: 119, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.361 D_real: 0.182 D_fake: 0.267 G: 1.531 NCE: 1.265 NCE_Y: 1.076 
(epoch: 120, iters: 120, time: 0.100, data: 0.001) G_GAN: 0.483 D_real: 0.172 D_fake: 0.409 G: 1.647 NCE: 1.145 NCE_Y: 1.183 
(epoch: 122, iters: 80, time: 0.100, data: 0.449) G_GAN: 0.345 D_real: 0.258 D_fake: 0.216 G: 1.517 NCE: 1.198 NCE_Y: 1.145 
(epoch: 124, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.347 D_real: 0.161 D_fake: 0.235 G: 1.458 NCE: 1.139 NCE_Y: 1.084 
(epoch: 125, iters: 120, time: 0.100, data: 0.001) G_GAN: 0.338 D_real: 0.304 D_fake: 0.170 G: 1.586 NCE: 1.324 NCE_Y: 1.173 
(epoch: 127, iters: 80, time: 0.100, data: 0.431) G_GAN: 0.287 D_real: 0.188 D_fake: 0.266 G: 1.372 NCE: 1.135 NCE_Y: 1.034 
(epoch: 129, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.305 D_real: 0.286 D_fake: 0.150 G: 1.518 NCE: 1.173 NCE_Y: 1.253 
(epoch: 130, iters: 120, time: 0.100, data: 0.003) G_GAN: 0.147 D_real: 0.536 D_fake: 0.084 G: 1.366 NCE: 1.290 NCE_Y: 1.148 
(epoch: 132, iters: 80, time: 0.100, data: 0.471) G_GAN: 0.334 D_real: 0.287 D_fake: 0.199 G: 1.431 NCE: 1.132 NCE_Y: 1.063 
(epoch: 134, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.370 D_real: 0.156 D_fake: 0.280 G: 1.459 NCE: 1.060 NCE_Y: 1.118 
(epoch: 135, iters: 120, time: 0.100, data: 0.001) G_GAN: 0.402 D_real: 1.090 D_fake: 0.160 G: 1.611 NCE: 1.219 NCE_Y: 1.198 
(epoch: 137, iters: 80, time: 0.100, data: 0.434) G_GAN: 0.229 D_real: 0.302 D_fake: 0.192 G: 1.216 NCE: 0.939 NCE_Y: 1.034 
(epoch: 139, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.275 D_real: 0.244 D_fake: 0.238 G: 1.324 NCE: 1.013 NCE_Y: 1.085 
(epoch: 140, iters: 120, time: 0.100, data: 0.003) G_GAN: 0.305 D_real: 0.179 D_fake: 0.225 G: 1.385 NCE: 1.169 NCE_Y: 0.991 
(epoch: 142, iters: 80, time: 0.100, data: 0.444) G_GAN: 0.407 D_real: 0.126 D_fake: 0.327 G: 1.425 NCE: 1.032 NCE_Y: 1.004 
(epoch: 144, iters: 40, time: 0.100, data: 0.002) G_GAN: 0.398 D_real: 0.152 D_fake: 0.274 G: 1.498 NCE: 1.167 NCE_Y: 1.033 
(epoch: 145, iters: 120, time: 0.100, data: 0.003) G_GAN: 0.360 D_real: 0.163 D_fake: 0.290 G: 1.401 NCE: 1.012 NCE_Y: 1.071 
